,"Release Type 
(Album, Single, EP)","Release  Title 
(Album title, Single title, EP title)","Main Artist 
",Featured Artist,"Track Title 
",UPC,"ISRC 
",Track Link,Genre,Sub Genre,"What is the basis of your claim?/Claim Type
(Sound Recording, Composition, Both)
","Role
(Composer, Writer, Author, Composer/Author)
","Percentage Claim Share
(Composition and/or Masters)","Recording Version, if applicable 
 (Ex., ""live"", ""dance remix"", etc)",Featured Instrument,Producer(s),"Recording Year
(MM/DD/YYYY)",Country of Recording,Writer(s) ,Composer(s) ,Publisher(s),Copyright Name,Copyright Year,"Release Date
(MM/DD/YYYY)",Country of Release ,Mood,Tags,Lyrics,Audio Language,"Explicit Content
(Y/N)","Release Label 
","Release Description
"
,ALBUM,Afro Juju,9ice,,Otami,8.60E+11,TCAGQ2293745,https://open.spotify.com/track/5z1xsqg5OEmr165Qd3nXaU?si=760398a2f2de4e36,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2022,,,,,,EN,,,
,ALBUM,Afro Juju,9ice,,I Cancel,8.60E+11,TCAGQ2293767,https://open.spotify.com/track/6S1Vo0Rsy66VxAWW4JWslw?si=5a1756980f37438a,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2022,,,,,,EN,,,
,ALBUM,Afro Juju,9ice,,Power Must Change Hands,8.60E+11,TCAGQ2293772,https://open.spotify.com/track/6NMwPVbUbMzRJR9HMEVA2F?si=c0ccc9b188e24792,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2022,,,,,,EN,,,
,ALBUM,Afro Juju,9ice,,Olorun Loni Kori Be E,8.60E+11,TCAGQ2293775,https://open.spotify.com/track/4kEbv1C5sWGGZ2yY0DG5XM?si=5c3020ab83064efd,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2022,,,,,,EN,,,
,ALBUM,Afro Juju,9ice,,Gbare Gbare,8.60E+11,TCAGQ2293783,https://open.spotify.com/track/3zjCP6PqXIVM2FpYYUUYNm?si=8116eb96bc5a4f60,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2022,,,,,,EN,,,
,ALBUM,Afro Juju,9ice,,Iwaju,8.60E+11,TCAGQ2293786,https://open.spotify.com/track/6bE5eOudZJIK7yCVJpkAbg?si=bb09b5d5d8974323,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2022,,,,,,EN,,,
,ALBUM,Afro Juju,9ice,,Oloore,8.60E+11,TCAGQ2293788,https://open.spotify.com/track/7pQeCxXYlPPEgBZ5xeBb1f?si=47c499888e094321,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2022,,,,,,EN,,,
,ALBUM,Afro Juju,9ice,,Aranbada,8.60E+11,TCAGQ2293789,https://open.spotify.com/track/39yxxKfEvhOFwwfsahclzD?si=dd0c8fb0b7b44c9d,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2022,,,,,,EN,,,
,ALBUM,Bashorun Gaa,9ice,,Pace Setter,8.60E+11,USA371554130,https://open.spotify.com/track/2XmWHoGecNPvUGls5yvD78?si=267e3045fd844c8e,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2011,,,,,,EN,,,
,ALBUM,Bashorun Gaa,9ice,,Everyday,8.60E+11,USA371554131,https://open.spotify.com/track/1qIakBQs59itm9qKsD88TB?si=a8c9891ee3a24f9d,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2011,,,,,,EN,,,
,ALBUM,Bashorun Gaa,9ice,,Mu Number,8.60E+11,USA371554132,https://open.spotify.com/track/6V0UeLrcsNyTVYIVRttYvR?si=c47f63a29bc14952,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2011,,,,,,EN,,,
,ALBUM,Bashorun Gaa,9ice,,3310,8.60E+11,USA371554133,https://open.spotify.com/track/7uWTSe2W2udDR1n3LJ2RbM?si=33712919076643e1,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2011,,,,,,EN,,,
,ALBUM,Bashorun Gaa,9ice,,Ori Olowo,8.60E+11,USA371554134,https://open.spotify.com/track/3DrJCJMJZodWSfN0lAAj4W?si=7ec797f8427645f9,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2011,,,,,,EN,,,
,ALBUM,Bashorun Gaa,9ice,,Attitude,8.60E+11,USA371554135,https://open.spotify.com/track/1nTAJb2iu2yNhSsHIGit5b?si=d93e973bbfc84fa7,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2011,,,,,,EN,,,
,ALBUM,Bashorun Gaa,9ice,,Simple Strategy,8.60E+11,USA371554136,https://open.spotify.com/track/3yKS1ONp0EaEvD59tC1FBI?si=17adb43ce2f542f5,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2011,,,,,,EN,,,
,ALBUM,Bashorun Gaa,9ice,,Adigun Ojuwonlo,8.60E+11,USA371554137,https://open.spotify.com/track/5CEB39KU015blnVzChFaG6?si=d3f4105838d24c48,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2011,,,,,,EN,,,
,ALBUM,Bashorun Gaa,9ice,,I Rule,8.60E+11,USA371554138,https://open.spotify.com/track/1uB6osVJurslmhPWAW1qQ6?si=93fb9d4059054603,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2011,,,,,,EN,,,
,ALBUM,Bashorun Gaa,9ice,,Shakashiki,8.60E+11,USA371554139,https://open.spotify.com/track/1Rsp7bUHU5M3WqwEsEQRDH?si=ae35ea2f09954477,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2011,,,,,,EN,,,
,ALBUM,Bashorun Gaa,9ice,,Display,8.60E+11,USA371554140,https://open.spotify.com/track/10MGqXjWs7dQo2F6W4boJg?si=4fea3100f3504204,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2011,,,,,,EN,,,
,ALBUM,Bashorun Gaa,9ice,,Enife,8.60E+11,USA371554141,https://open.spotify.com/track/5FeofsKXsgwDw7214qTisC?si=868e71b56db2499a,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2011,,,,,,EN,,,
,ALBUM,Bashorun Gaa,9ice,,Omo,8.60E+11,USA371554142,https://open.spotify.com/track/24EnK1kQhljdSuFWr2Nwpb?si=b4674201532242f9,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2011,,,,,,EN,,,
,ALBUM,Bashorun Gaa,9ice,,Takoto,8.60E+11,USA371554143,https://open.spotify.com/track/1S8j1gQoJe5ZToYrNu4XX5?si=60877b8931844b35,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2011,,,,,,EN,,,
,ALBUM,Bashorun Gaa,9ice,,We Are Ready,8.60E+11,USA371554144,https://open.spotify.com/track/01JrTtArVjdAA3tI0U8A1k?si=93bcaf61e16e4b79,ALTERNATIVE,Worldwide,Both,,,,,,,"Lagos, Nigeria.",,,,AAR,2011,,,,,,EN,,,
